               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.01364,           0.0050281,            0.009605,             0.99813,             0.99777,             0.99482,              0.9941,           0.0032197,            0.001327,           0.0014066,            0.006535,            0.006535,            0.006535
                  37,            0.013409,           0.0050266,           0.0095624,             0.99817,             0.99779,             0.99481,             0.99413,           0.0031978,           0.0013169,           0.0014032,            0.006436,            0.006436,            0.006436
                  38,            0.013467,           0.0049535,           0.0095085,             0.99822,             0.99786,             0.99481,             0.99409,           0.0031721,           0.0013101,           0.0013903,            0.006337,            0.006337,            0.006337
                  39,            0.013319,           0.0049497,           0.0096577,             0.99827,             0.99781,             0.99481,             0.99413,           0.0031526,           0.0013046,           0.0013551,            0.006238,            0.006238,            0.006238
                  40,            0.013207,           0.0049467,           0.0091663,              0.9983,             0.99785,             0.99482,             0.99412,           0.0031375,           0.0012985,           0.0013262,            0.006139,            0.006139,            0.006139
                  41,            0.013019,           0.0048636,           0.0091219,             0.99834,             0.99784,             0.99482,             0.99412,           0.0031195,           0.0012924,           0.0012967,             0.00604,             0.00604,             0.00604
                  42,            0.012913,           0.0048754,           0.0090866,             0.99832,             0.99788,             0.99482,             0.99417,           0.0031075,           0.0012883,           0.0012738,            0.005941,            0.005941,            0.005941
                  43,            0.012852,           0.0048367,           0.0092025,             0.99833,              0.9979,             0.99483,             0.99415,           0.0030918,            0.001283,           0.0012466,            0.005842,            0.005842,            0.005842
                  44,            0.012661,           0.0048025,           0.0088322,             0.99835,             0.99792,             0.99483,             0.99417,           0.0030775,           0.0012785,             0.00123,            0.005743,            0.005743,            0.005743
                  45,            0.012576,           0.0047828,           0.0086387,             0.99836,             0.99799,             0.99483,             0.99417,           0.0030632,           0.0012741,           0.0012087,            0.005644,            0.005644,            0.005644
                  46,            0.012602,           0.0047092,           0.0090136,             0.99838,               0.998,             0.99483,             0.99418,           0.0030518,             0.00127,            0.001191,            0.005545,            0.005545,            0.005545
                  47,            0.012474,           0.0046698,           0.0088967,             0.99841,             0.99798,             0.99483,             0.99413,           0.0030405,           0.0012659,           0.0011786,            0.005446,            0.005446,            0.005446
                  48,            0.012316,           0.0046578,            0.008876,             0.99842,             0.99799,             0.99483,             0.99413,            0.003027,           0.0012631,           0.0011648,            0.005347,            0.005347,            0.005347
                  49,            0.012244,            0.004635,             0.00844,             0.99842,             0.99802,             0.99483,             0.99414,           0.0030147,           0.0012588,           0.0011508,            0.005248,            0.005248,            0.005248
