               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.013086,             0.00523,            0.019794,              0.9676,             0.94342,              0.9833,             0.96077,           0.0058718,           0.0027001,           0.0070814,            0.006535,            0.006535,            0.006535
                  37,            0.013039,           0.0052216,            0.020067,             0.96048,             0.95338,              0.9842,             0.96355,           0.0058524,           0.0030192,           0.0066727,            0.006436,            0.006436,            0.006436
                  38,             0.01281,           0.0051389,            0.019376,             0.96379,             0.95331,             0.98421,             0.96497,           0.0056882,           0.0026752,           0.0066227,            0.006337,            0.006337,            0.006337
                  39,            0.012656,           0.0051086,            0.018947,             0.97169,             0.94463,             0.98314,             0.96268,           0.0056479,           0.0026765,           0.0061428,            0.006238,            0.006238,            0.006238
                  40,            0.012433,           0.0050507,            0.018696,             0.96603,             0.95395,             0.98466,             0.96546,           0.0055209,            0.002624,           0.0058523,            0.006139,            0.006139,            0.006139
                  41,            0.012332,           0.0050934,            0.018627,             0.94844,              0.9521,             0.98087,             0.96147,           0.0054998,           0.0025678,           0.0057864,             0.00604,             0.00604,             0.00604
                  42,            0.012237,           0.0050256,            0.018295,             0.96339,             0.95498,             0.98461,             0.97056,           0.0052963,           0.0024846,           0.0055991,            0.005941,            0.005941,            0.005941
                  43,            0.012104,           0.0049494,            0.017705,             0.95806,             0.95394,             0.98242,              0.9663,           0.0053056,           0.0024902,           0.0058152,            0.005842,            0.005842,            0.005842
                  44,            0.011886,           0.0048999,            0.017857,             0.96229,             0.95172,               0.982,             0.97053,           0.0052212,           0.0024987,           0.0052614,            0.005743,            0.005743,            0.005743
                  45,            0.011926,           0.0049045,            0.017064,             0.96657,             0.96547,             0.98792,             0.97428,           0.0051097,           0.0024459,           0.0051026,            0.005644,            0.005644,            0.005644
                  46,            0.011804,           0.0048549,            0.016686,             0.97699,             0.96267,             0.98813,             0.97599,           0.0049801,           0.0024025,           0.0046064,            0.005545,            0.005545,            0.005545
                  47,            0.011714,           0.0048568,            0.016946,             0.98069,              0.9685,             0.99005,              0.9794,           0.0048981,           0.0024074,           0.0045806,            0.005446,            0.005446,            0.005446
                  48,            0.011574,           0.0047753,              0.0162,             0.97805,             0.96131,             0.98839,             0.97583,           0.0049097,           0.0023721,           0.0043829,            0.005347,            0.005347,            0.005347
                  49,            0.011539,           0.0047458,            0.016012,             0.98198,             0.96684,             0.98887,             0.97878,           0.0047331,           0.0023666,           0.0041275,            0.005248,            0.005248,            0.005248
                  50,            0.011016,           0.0046566,            0.016171,             0.97449,             0.96487,             0.98736,               0.977,           0.0046432,           0.0023002,           0.0042746,            0.005149,            0.005149,            0.005149
                  51,            0.010993,           0.0046237,            0.015754,             0.98413,             0.95748,              0.9885,             0.97951,           0.0045947,           0.0022688,           0.0038354,             0.00505,             0.00505,             0.00505
                  52,            0.011063,           0.0046373,            0.015907,             0.97908,             0.97033,             0.98954,             0.97987,           0.0046951,           0.0022814,           0.0038958,            0.004951,            0.004951,            0.004951
                  53,             0.01079,           0.0045934,            0.015522,             0.97729,             0.97656,             0.99152,             0.98313,            0.004472,           0.0022609,           0.0036736,            0.004852,            0.004852,            0.004852
                  54,            0.010662,           0.0045253,            0.015418,             0.98286,              0.9647,             0.99226,             0.98432,           0.0044563,           0.0022003,           0.0036821,            0.004753,            0.004753,            0.004753
                  55,            0.010717,           0.0045192,            0.015065,             0.97412,             0.97317,              0.9907,             0.98386,           0.0044244,           0.0022112,           0.0037718,            0.004654,            0.004654,            0.004654
                  56,            0.010536,           0.0045154,            0.015227,              0.9866,             0.97314,             0.99125,              0.9829,           0.0044079,           0.0021934,           0.0035849,            0.004555,            0.004555,            0.004555
                  57,            0.010449,           0.0044459,             0.01474,             0.98905,             0.95882,             0.99043,             0.98273,           0.0043824,           0.0021385,            0.003504,            0.004456,            0.004456,            0.004456
                  58,            0.010352,           0.0044087,             0.01452,             0.98429,             0.96904,             0.99121,             0.98225,           0.0042817,           0.0021437,           0.0033014,            0.004357,            0.004357,            0.004357
                  59,             0.01018,           0.0044604,            0.014388,             0.98716,              0.9688,             0.99113,             0.98282,           0.0042436,           0.0021131,           0.0031796,            0.004258,            0.004258,            0.004258
                  60,           0.0099507,           0.0043525,            0.014387,             0.98698,             0.97792,             0.99219,             0.98478,           0.0042016,           0.0020903,           0.0032332,            0.004159,            0.004159,            0.004159
                  61,           0.0099331,           0.0042716,            0.014255,             0.98998,             0.97316,             0.99041,             0.98471,           0.0041552,           0.0020884,           0.0032744,             0.00406,             0.00406,             0.00406
                  62,           0.0098587,            0.004311,            0.013947,             0.98869,             0.97132,             0.99086,             0.98455,           0.0041478,           0.0021037,           0.0032501,            0.003961,            0.003961,            0.003961
                  63,           0.0097322,           0.0042452,            0.013807,             0.98443,              0.9778,             0.99154,             0.98513,           0.0041086,           0.0021048,           0.0031362,            0.003862,            0.003862,            0.003862
                  64,           0.0096707,           0.0042563,            0.013544,             0.98989,             0.97257,               0.991,             0.98547,           0.0040645,             0.00207,           0.0029541,            0.003763,            0.003763,            0.003763
                  65,           0.0093833,           0.0041503,            0.013338,             0.99088,             0.97471,             0.99091,             0.98536,           0.0040497,           0.0020493,           0.0028199,            0.003664,            0.003664,            0.003664
                  66,           0.0094578,           0.0042284,            0.013356,             0.99122,             0.97556,             0.99137,             0.98525,           0.0040024,           0.0020275,           0.0028512,            0.003565,            0.003565,            0.003565
                  67,           0.0092468,            0.004118,            0.013201,             0.98991,             0.97727,             0.99233,             0.98599,           0.0039781,           0.0020378,           0.0026471,            0.003466,            0.003466,            0.003466
                  68,           0.0092019,           0.0040665,            0.013256,             0.98165,             0.98241,             0.99239,             0.98652,           0.0038975,           0.0020106,           0.0027371,            0.003367,            0.003367,            0.003367
                  69,           0.0090472,           0.0040958,            0.013262,             0.98885,             0.97963,             0.99228,              0.9871,           0.0038553,           0.0020002,           0.0026981,            0.003268,            0.003268,            0.003268
                  70,           0.0088762,           0.0040602,             0.01265,             0.98133,             0.98449,              0.9922,              0.9868,           0.0038299,           0.0019701,           0.0026301,            0.003169,            0.003169,            0.003169
                  71,           0.0087622,           0.0040107,            0.012974,             0.98647,             0.97379,             0.99195,             0.98674,           0.0038139,           0.0019837,           0.0027295,             0.00307,             0.00307,             0.00307
                  72,           0.0087086,           0.0039263,            0.012636,             0.98976,             0.97385,             0.99251,             0.98641,           0.0037662,           0.0019404,           0.0025806,            0.002971,            0.002971,            0.002971
                  73,           0.0085085,           0.0039305,            0.012556,             0.98609,             0.97942,             0.99268,             0.98782,           0.0037209,           0.0019083,           0.0025686,            0.002872,            0.002872,            0.002872
                  74,           0.0084882,            0.003866,            0.012267,             0.98884,             0.97713,             0.99273,             0.98836,           0.0036869,           0.0019097,           0.0024776,            0.002773,            0.002773,            0.002773
                  75,           0.0083412,           0.0038815,            0.012321,               0.993,             0.97628,             0.99277,             0.98862,           0.0036782,           0.0019113,           0.0023864,            0.002674,            0.002674,            0.002674
                  76,           0.0082848,           0.0038739,            0.011758,             0.99336,             0.97943,             0.99302,             0.98983,           0.0036583,           0.0019019,           0.0023544,            0.002575,            0.002575,            0.002575
                  77,            0.008191,           0.0038223,            0.011978,             0.99241,             0.97711,             0.99288,             0.98871,           0.0036389,            0.001901,           0.0023295,            0.002476,            0.002476,            0.002476
                  78,           0.0080652,           0.0037615,            0.011557,             0.99341,              0.9789,             0.99292,             0.98955,           0.0036221,           0.0018915,           0.0022403,            0.002377,            0.002377,            0.002377
                  79,           0.0078567,           0.0037709,            0.011593,             0.98726,             0.98314,             0.99296,             0.98884,           0.0035943,           0.0018717,           0.0021689,            0.002278,            0.002278,            0.002278
                  80,           0.0079097,           0.0037645,            0.011684,             0.98512,             0.98814,              0.9931,             0.98912,           0.0035983,           0.0018606,           0.0020907,            0.002179,            0.002179,            0.002179
                  81,           0.0076872,           0.0036465,            0.011578,             0.98568,             0.98932,             0.99269,             0.98837,           0.0035967,           0.0018529,           0.0019668,             0.00208,             0.00208,             0.00208
                  82,           0.0076356,           0.0036851,            0.011644,             0.99244,             0.98904,              0.9932,              0.9887,            0.003576,           0.0018428,           0.0019132,            0.001981,            0.001981,            0.001981
