170,136,105,0
181,141,106,0
186,148,113,0
189,146,109,0
192,149,111,0
185,144,109,0
179,141,107,0
182,144,110,0
171,135,103,0
194,150,111,0
165,129,98,0
181,143,109,0
174,135,99,0
177,137,99,0
187,140,99,0
185,141,100,0
190,142,99,0
195,148,104,0
180,134,94,0
179,138,100,0
191,142,98,0
203,156,112,0
183,137,96,0
203,156,112,0
171,137,106,0
190,150,114,0
191,147,108,0
185,146,111,0
189,148,112,0
197,152,114,0
177,141,109,0
169,133,102,0
198,154,115,0
164,129,98,0
187,148,114,0
182,141,106,0
171,138,107,0
168,134,104,0
180,143,111,0
168,134,104,0
167,132,101,0
170,135,104,0
194,154,119,0
179,141,108,0
202,161,123,0
184,145,112,0
196,155,119,0
183,142,108,0
173,138,107,0
173,133,101,0
198,154,116,0
195,153,116,0
171,131,99,0
193,147,109,0
189,147,112,0
186,145,111,0
187,147,112,0
183,143,110,0
176,137,105,0
180,143,111,0
170,137,107,0
187,149,115,0
175,137,105,0
169,133,102,0
178,141,108,0
183,142,108,0
195,153,116,0
163,128,98,0
186,149,116,0
185,148,115,0
165,130,100,0
185,148,115,0
168,136,106,0
174,138,107,0
182,145,113,0
175,139,108,0
171,136,105,0
198,158,122,0
186,147,113,0
172,138,107,0
181,146,114,0
169,133,103,0
193,154,118,0
181,145,113,0
174,136,101,0
201,154,110,0
190,143,102,0
200,152,109,0
199,150,106,0
199,151,107,0
182,141,104,0
192,145,102,0
182,139,101,0
175,136,100,0
178,137,100,0
200,155,113,0
171,139,110,0
188,147,113,0
196,156,122,0
188,146,112,0
191,153,120,0
186,148,116,0
184,144,111,0
192,154,121,0
174,138,108,0
184,146,113,0
184,149,117,0
187,149,116,0
169,137,109,0
190,148,114,0
182,144,114,0
189,149,116,0
175,141,112,0
173,136,107,0
193,155,123,0
197,157,123,0
169,134,105,0
173,139,110,0
180,146,116,0
181,144,114,0
176,137,100,0
185,142,102,0
202,156,112,0
193,145,101,0
206,156,110,0
179,136,96,0
196,150,107,0
170,129,91,0
207,160,114,0
200,150,103,0
200,154,110,0
192,148,107,0
173,137,104,0
186,146,110,0
203,159,119,0
170,134,100,0
190,147,109,0
192,147,107,0
175,137,104,0
176,137,102,0
198,156,117,0
197,150,109,0
177,140,106,0
196,154,116,0
170,136,105,0
196,154,116,0
193,152,115,0
169,134,103,0
183,146,112,0
189,146,108,0
121,166,132,1
121,172,134,1
137,193,151,1
124,173,136,1
126,179,140,1
132,187,146,1
124,172,136,1
135,188,148,1
119,166,131,1
139,197,153,1
116,165,124,1
123,180,132,1
119,173,127,1
114,169,122,1
118,176,126,1
127,193,136,1
130,194,140,1
123,190,133,1
114,173,122,1
125,191,135,1
120,167,134,1
127,184,144,1
134,192,151,1
121,172,136,1
117,166,132,1
133,187,149,1
131,187,147,1
136,192,152,1
130,189,148,1
124,176,139,1
118,165,132,1
123,174,138,1
134,189,150,1
137,195,154,1
123,179,141,1
115,165,130,1
118,166,132,1
127,180,143,1
126,187,145,1
129,190,148,1
121,168,131,1
127,182,139,1
130,183,142,1
125,184,139,1
121,169,132,1
135,191,148,1
127,182,139,1
113,164,125,1
119,174,132,1
131,187,144,1
122,168,133,1
118,167,129,1
128,181,140,1
121,168,132,1
133,191,147,1
139,195,151,1
120,167,130,1
129,179,140,1
119,167,130,1
128,184,142,1
118,164,130,1
122,175,136,1
115,164,128,1
128,181,142,1
121,172,135,1
125,178,139,1
113,161,126,1
123,177,137,1
125,182,140,1
120,168,133,1
119,168,130,1
116,169,129,1
131,192,146,1
127,189,142,1
111,162,123,1
119,174,132,1
132,192,146,1
135,197,149,1
132,196,147,1
126,183,139,1
118,165,132,1
126,187,145,1
123,176,139,1
127,181,144,1
126,180,142,1
129,182,145,1
109,158,124,1
120,173,137,1
135,192,153,1
119,174,137,1
121,166,135,1
127,176,142,1
120,164,133,1
122,172,137,1
140,196,157,1
134,187,150,1
128,176,142,1
135,191,152,1
123,174,139,1
136,191,153,1
114,165,128,1
115,177,131,1
117,173,132,1
113,169,127,1
116,175,131,1
126,187,142,1
119,179,135,1
123,191,140,1
113,174,128,1
126,190,143,1
119,165,131,1
109,156,121,1
121,175,135,1
124,174,136,1
131,184,145,1
118,169,131,1
125,182,140,1
132,185,146,1
129,185,143,1
116,163,128,1
123,168,137,1
140,195,157,1
123,167,136,1
122,171,138,1
136,192,154,1
134,184,149,1
130,182,146,1
129,182,146,1
117,162,131,1
137,192,154,1
114,164,126,1
112,164,123,1
123,185,137,1
121,183,135,1
130,193,144,1
125,189,139,1
117,172,129,1
110,162,121,1
113,164,124,1
113,169,125,1
118,164,128,1
129,187,141,1
117,164,127,1
117,164,127,1
123,173,134,1
126,185,138,1
125,175,136,1
120,174,131,1
120,173,131,1
127,182,138,1
110,99,190,2
121,107,212,2
118,97,216,2
123,105,223,2
112,94,205,2
113,93,207,2
115,97,208,2
114,96,206,2
122,103,220,2
108,87,201,2
107,94,194,2
104,87,200,2
115,97,219,2
116,100,217,2
100,81,197,2
98,78,194,2
121,103,227,2
108,92,202,2
115,96,221,2
113,96,212,2
112,101,191,2
117,100,205,2
112,90,204,2
127,110,223,2
119,99,215,2
132,116,227,2
105,87,187,2
116,96,207,2
115,99,200,2
116,96,209,2
115,102,192,2
125,103,219,2
132,114,225,2
122,99,216,2
131,113,224,2
116,101,197,2
123,100,218,2
121,99,213,2
129,112,218,2
130,110,223,2
111,99,193,2
113,100,199,2
129,115,228,2
119,99,220,2
108,90,200,2
113,96,205,2
104,88,190,2
111,92,207,2
115,94,216,2
107,88,202,2
113,101,189,2
118,97,209,2
115,95,205,2
109,95,187,2
126,112,214,2
122,104,213,2
