99,106,87
100,111,82
118,124,109
88,94,78
90,96,80
127,143,102
86,92,77
65,73,52
84,92,70
122,126,104
78,81,64
147,154,116
113,117,94
94,97,79
81,83,70
160,169,131
146,150,125
147,150,134
129,129,109
138,138,113
151,152,117
139,140,126
105,106,81
159,160,135
88,88,70
133,133,109
170,171,154
97,109,88
67,74,60
130,148,116
95,108,85
114,132,100
98,115,85
110,120,103
86,100,76
142,158,132
103,111,90
110,114,102
75,78,69
96,100,89
91,100,76
130,141,111
130,145,105
68,71,63
111,122,91
111,115,94
144,154,111
120,126,96
151,156,134
98,101,84
142,147,125
104,109,81
73,75,66
148,155,123
105,113,92
129,146,104
106,119,86
63,70,53
131,148,106
78,87,63
106,116,90
112,118,102
83,92,69
101,108,87
105,115,85
114,127,89
141,155,121
62,69,49
145,155,129
77,81,70
118,127,103
103,108,95
87,101,80
70,84,62
126,137,120
74,82,69
88,100,82
50,61,45
101,123,88
94,117,80
76,89,69
108,113,92
142,146,126
107,111,92
101,105,84
112,118,90
132,138,110
131,139,101
87,90,77
126,131,108
104,110,90
157,162,144
112,117,96
124,131,103
127,133,109
112,119,93
119,123,108
68,74,53
114,119,99
108,114,93
135,141,118
86,93,67
148,154,130
65,68,55
130,136,111
75,80,60
62,66,49
120,128,95
114,116,95
83,85,66
85,86,71
96,97,83
116,118,93
94,96,71
163,167,142
146,149,123
151,156,119
103,112,91
141,157,122
116,126,102
97,110,78
99,111,81
127,140,109
70,79,59
68,73,62
97,102,90
109,115,94
87,90,80
116,121,99
117,123,102
110,114,100
146,156,121
157,165,140
138,147,113
84,88,73
120,123,102
75,79,58
136,142,107
85,88,70
116,119,103
80,82,73
161,165,147
133,138,109
146,149,132
113,117,96
128,132,112
154,160,132
86,89,71
99,105,75
151,161,120
112,117,86
144,152,111
137,143,107
103,111,90
83,86,76
79,84,70
67,73,55
118,123,110
132,141,116
75,79,68
105,112,92
105,117,84
116,121,100
126,132,105
136,142,115
145,156,114
130,136,112
140,145,124
114,117,103
131,139,108
74,76,67
113,117,95
132,139,100
133,137,112
95,98,83
160,166,138
81,85,61
72,73,64
132,135,119
126,132,98
111,115,94
83,86,70
106,111,81
84,88,67
137,140,125
120,123,105
121,125,103
143,152,111
93,98,73
124,123,102
159,161,120
131,131,105
116,116,98
125,125,106
155,156,118
123,123,106
156,157,123
71,71,52
105,111,92
125,137,101
139,153,116
110,120,88
109,115,95
124,135,103
96,100,87
137,151,114
118,129,97
104,111,91
76,79,70
66,70,60
92,95,84
70,75,60
133,139,121
98,106,85
135,153,109
130,139,114
104,111,91
129,142,104
146,157,128
151,161,137
153,160,142
140,153,119
133,144,114
103,113,85
104,108,96
