91,133,135
142,181,184
88,155,158
84,147,150
139,178,180
102,178,182
64,94,96
42,74,74
78,138,138
108,142,143
112,191,193
42,68,68
133,178,179
148,196,198
110,133,133
90,123,124
51,84,84
88,113,114
101,144,146
100,180,185
94,110,111
137,161,163
73,110,112
69,130,133
158,212,216
53,99,101
77,144,147
179,188,184
157,171,164
117,122,120
201,219,212
150,157,154
226,239,235
211,231,224
223,235,231
226,239,235
102,142,144
80,140,142
104,185,189
134,175,177
101,143,145
113,192,197
74,129,131
75,115,117
142,166,168
103,146,149
135,188,192
137,198,203
112,194,200
90,121,123
125,166,169
92,113,115
98,183,189
83,161,165
116,146,146
111,165,165
159,177,178
107,136,136
114,189,189
150,176,177
120,194,195
112,178,177
72,94,94
92,137,140
151,199,202
110,172,176
103,187,191
43,76,78
109,149,152
103,187,192
112,143,145
116,196,201
102,140,141
55,78,79
107,144,145
136,173,175
42,72,72
105,173,175
76,114,115
97,169,169
48,72,74
113,145,145
140,191,192
80,114,114
119,189,188
105,163,161
55,85,85
146,175,176
64,93,93
94,123,123
101,138,139
106,177,180
128,186,189
82,112,113
76,110,112
85,141,143
111,140,142
102,157,159
107,123,123
94,141,145
63,109,113
106,180,186
56,108,111
99,135,138
86,126,129
66,127,131
83,106,108
103,194,202
100,143,146
84,151,155
140,187,190
74,134,137
118,169,172
148,199,202
73,91,92
100,180,184
136,187,190
129,156,156
181,204,204
64,87,86
76,94,93
73,100,98
116,155,154
93,129,126
54,74,72
172,198,198
105,140,140
69,112,113
89,145,146
111,187,189
81,132,131
92,149,150
104,168,169
63,102,102
121,183,185
110,144,145
114,173,175
124,152,152
123,192,195
74,120,120
62,90,91
56,88,89
111,157,159
111,183,183
96,140,142
47,86,88
156,198,201
139,167,169
91,156,160
76,140,143
53,81,83
71,86,87
72,131,134
91,138,142
85,158,160
93,153,158
37,69,71
94,176,180
98,121,123
49,91,92
117,178,182
114,192,198
104,141,143
59,101,102
115,185,189
74,86,87
141,182,184
58,99,100
91,153,155
57,97,99
111,191,195
119,150,150
82,95,95
137,172,173
112,165,164
86,124,124
108,131,131
94,124,125
114,165,165
78,87,87
97,145,150
44,109,115
65,162,171
74,91,93
52,83,87
70,160,168
155,210,215
65,89,91
49,125,132
151,169,166
152,167,165
196,221,218
189,220,217
175,190,187
101,122,118
81,88,87
86,100,98
195,207,205
134,163,163
114,158,158
106,116,116
131,176,177
120,161,161
115,139,140
160,189,190
115,137,137
163,185,185
113,145,145
120,190,193
69,111,111
97,156,156
105,119,120
151,176,177
165,206,208
110,167,169
59,94,95
