173,137,104
216,177,141
220,174,132
115,92,71
140,114,91
110,82,58
198,167,139
182,137,97
90,67,48
116,89,64
213,159,109
129,97,68
171,139,110
184,139,101
114,86,64
140,106,78
130,112,96
133,107,84
211,154,103
114,91,70
196,150,108
176,134,99
101,89,79
111,100,91
170,137,107
132,111,93
156,130,106
84,63,47
205,149,100
172,130,94
94,71,51
141,107,78
209,185,163
214,177,143
100,76,55
120,98,78
173,138,107
93,74,59
222,192,165
183,134,93
227,167,112
89,66,45
202,172,146
103,75,52
94,69,48
159,136,116
188,137,94
206,159,117
169,137,109
168,129,95
122,93,69
193,145,104
193,148,110
132,108,87
107,87,70
121,105,92
101,87,75
186,144,108
210,154,106
212,166,125
174,135,99
203,177,152
195,166,139
229,176,127
200,142,88
158,113,73
142,102,67
226,155,90
181,141,104
186,135,89
226,155,89
175,126,82
176,137,100
127,93,62
126,92,62
226,182,139
96,70,46
206,165,125
93,68,45
232,182,133
227,160,96
91,66,44
127,103,81
141,103,68
170,136,105
194,145,101
111,84,61
165,126,90
116,88,64
212,154,102
136,105,76
215,169,127
100,75,54
197,154,114
204,151,102
173,131,94
174,136,101
209,153,100
163,121,82
150,110,73
128,114,101
95,69,46
174,130,89
91,66,44
147,124,102
131,96,64
176,129,85
198,173,150
168,136,106
211,186,162
129,111,95
184,142,104
179,137,102
142,109,80
214,177,143
168,129,96
102,78,58
156,120,89
131,100,73
185,141,102
171,138,107
229,196,165
137,104,74
216,167,121
144,110,79
88,75,64
127,96,69
117,90,65
210,185,162
197,162,130
93,79,67
208,153,103
171,137,106
125,93,67
122,91,64
97,74,53
119,96,75
199,161,126
187,140,98
161,120,85
147,110,78
107,95,84
183,137,97
190,168,149
170,136,105
158,127,99
219,194,171
118,90,64
152,115,82
144,114,88
151,88,54
214,108,52
90,64,50
209,108,54
102,52,26
200,129,90
210,138,99
140,75,41
201,113,66
159,99,63
90,49,26
220,128,75
212,157,125
199,110,59
144,83,48
80,45,25
121,64,32
180,109,68
163,102,64
169,131,107
87,60,43
209,113,54
200,116,65
120,64,30
216,126,71
181,105,59
218,118,57
162,100,63
145,82,45
126,82,56
90,49,25
129,78,46
203,121,70
168,131,108
206,130,83
200,151,120
151,98,48
166,106,51
199,144,94
