115,102,192
16,13,31
91,74,179
102,94,142
173,161,244
119,95,239
136,117,243
143,139,164
139,121,242
142,123,243
119,96,240
120,99,240
116,103,192
131,115,228
119,100,238
40,33,79
194,188,229
219,215,244
120,98,240
121,100,241
47,46,51
117,95,237
119,96,239
42,34,83
111,100,188
163,153,241
113,96,236
223,220,242
163,153,238
111,94,233
113,96,237
113,95,237
95,89,143
98,96,117
126,111,239
205,201,239
113,100,194
114,93,242
54,45,111
21,17,45
231,229,246
58,49,115
111,89,238
110,88,236
40,38,50
189,180,242
119,101,234
36,29,75
116,105,190
187,179,238
205,200,237
11,9,21
110,106,137
148,133,239
47,40,91
57,52,88
115,95,231
106,97,169
147,133,239
191,186,224
107,94,194
187,179,246
104,82,241
79,69,145
92,83,155
105,86,242
103,83,241
111,99,194
30,26,52
16,13,37
103,82,240
107,104,124
111,98,195
78,69,138
83,70,163
110,90,240
106,86,229
127,110,241
75,61,160
35,28,74
25,20,53
110,89,240
19,15,41
111,91,242
114,102,190
119,100,239
117,97,236
111,92,221
82,79,99
30,25,59
92,85,140
115,96,234
47,39,93
100,85,196
19,16,38
114,96,229
112,98,196
192,183,246
130,125,153
32,28,54
98,82,195
109,85,240
199,192,245
39,31,84
109,87,240
55,45,118
235,233,247
230,228,244
117,104,190
120,97,233
122,100,235
121,101,234
116,94,221
95,78,179
124,102,238
162,148,237
124,104,237
57,47,108
122,100,236
31,26,59
115,102,192
117,94,238
92,91,96
50,41,101
197,189,242
115,93,236
142,140,156
40,39,45
33,27,67
143,127,238
118,96,239
86,71,172
112,101,191
208,203,243
115,97,240
211,206,245
38,32,77
114,93,239
29,25,60
198,191,243
19,16,41
89,73,182
43,37,81
114,95,239
110,99,190
87,74,177
115,98,237
81,68,165
112,94,236
202,196,242
111,95,226
89,86,114
192,184,244
149,136,241
115,97,240
213,209,242
