110,99,190
110,64,200
109,35,172
112,48,191
112,52,196
92,40,148
101,57,176
118,80,223
111,46,190
106,24,155
107,94,194
105,71,224
99,31,173
100,38,183
102,44,193
101,59,207
104,70,223
94,38,167
104,74,226
101,64,208
112,101,191
115,67,212
111,45,189
100,58,176
108,42,179
108,26,161
96,28,140
95,65,177
93,49,158
118,85,228
115,102,192
89,53,153
115,52,191
85,23,114
113,30,164
114,59,195
100,30,139
120,73,214
114,44,183
92,65,169
111,99,193
102,69,196
110,62,204
114,77,223
117,86,233
105,71,202
116,84,230
107,36,175
107,35,172
78,56,153
113,101,189
118,87,225
112,69,202
110,42,173
109,31,157
111,31,162
110,33,161
116,69,208
109,62,187
111,34,167
115,104,189
115,24,160
118,55,193
125,80,220
115,25,162
98,27,134
124,73,214
85,23,114
121,61,202
86,16,107
113,100,194
110,31,170
112,51,195
87,44,148
111,71,213
111,72,215
113,69,213
118,84,230
79,21,110
115,77,222
111,100,188
93,66,168
106,44,158
110,44,167
110,73,202
111,55,183
106,65,180
110,51,178
108,52,172
119,90,227
117,104,190
90,24,116
120,23,159
115,36,164
122,76,209
95,48,147
126,67,206
110,33,149
117,60,189
121,45,181
112,98,196
109,55,201
103,41,173
91,33,143
79,55,155
113,75,225
107,48,190
86,60,169
98,34,152
113,74,224
116,103,192
99,34,149
119,52,199
116,34,181
87,18,118
113,50,188
102,44,162
100,49,164
87,61,158
115,20,166
116,105,190
116,53,184
122,66,204
113,26,154
128,95,230
82,57,143
100,52,159
96,50,152
88,38,130
113,53,182
111,98,195
111,62,205
108,49,185
108,54,191
110,58,200
108,51,188
114,75,221
110,76,219
90,47,155
82,32,126
115,102,192
117,42,169
93,30,120
120,78,214
116,70,202
117,45,174
115,43,167
114,37,156
84,42,129
120,72,206
114,102,190
112,57,185
78,33,113
105,31,137
110,45,165
118,57,191
109,47,164
91,59,156
88,25,112
104,53,164
