109,184,201
90,189,224
78,153,176
63,133,158
91,192,226
103,179,199
103,205,236
87,188,221
80,148,168
90,189,224
92,194,226
114,180,196
106,196,229
134,215,237
92,152,170
116,201,229
118,195,218
115,202,233
126,211,237
99,186,218
118,203,232
103,192,226
116,182,198
140,220,240
96,175,207
89,151,169
116,193,216
96,179,208
149,229,250
98,181,212
91,155,175
100,187,216
141,223,245
119,184,200
124,193,211
100,187,216
94,180,211
108,196,226
100,189,221
106,171,188
124,194,213
83,156,183
108,196,225
116,202,229
118,181,196
120,202,229
110,193,221
148,226,248
111,196,227
106,191,225
103,174,197
97,170,196
106,189,218
71,130,153
138,217,240
122,183,197
138,216,239
115,185,206
105,181,209
108,185,214
149,224,244
120,200,226
143,218,238
131,208,230
133,211,234
118,198,224
118,181,197
132,211,236
77,142,170
103,188,225
70,130,155
103,189,225
140,218,240
131,210,236
143,223,247
147,225,246
104,187,226
119,180,195
124,201,227
142,216,236
110,173,193
148,224,245
130,209,237
109,188,221
110,189,224
145,220,241
86,150,176
109,184,221
114,183,201
93,189,226
127,215,242
91,182,220
68,139,166
99,196,232
89,183,220
98,188,219
96,190,223
110,203,234
89,159,181
122,181,197
129,203,228
116,194,228
130,197,218
128,202,228
118,195,227
132,207,234
114,191,223
146,217,237
145,214,234
148,219,240
123,179,195
109,174,201
101,164,190
132,205,235
104,175,211
129,199,225
146,216,240
107,175,214
107,178,215
78,132,156
100,162,188
117,184,201
133,218,240
105,186,211
135,218,240
100,193,223
83,163,190
103,196,227
121,209,236
90,171,197
90,178,210
95,188,219
120,182,198
100,163,183
144,222,245
97,175,206
105,188,222
151,227,249
128,207,233
112,194,222
145,221,242
112,195,225
118,198,224
123,181,196
126,201,224
152,225,244
140,213,233
140,214,235
85,138,155
149,223,244
112,169,184
136,211,234
106,162,178
124,203,230
