107,94,194
112,101,191
115,102,192
111,99,193
113,101,189
115,104,189
113,100,194
111,100,188
117,104,190
112,98,196
116,103,192
116,105,190
111,98,195
115,102,192
114,102,190
123,110,215
118,99,229
130,113,226
118,99,204
126,113,221
121,103,211
136,119,230
109,93,193
118,105,206
133,114,219
125,109,219
123,103,210
133,112,228
106,90,194
126,106,216
109,94,187
109,96,192
111,96,207
132,116,227
114,96,197
134,119,237
132,117,227
128,110,216
128,110,227
114,100,199
115,100,188
123,106,219
131,108,230
124,105,210
124,105,225
121,104,203
118,102,201
123,106,220
107,95,196
131,112,232
116,103,194
127,111,225
115,101,196
119,101,202
117,103,202
129,113,229
132,116,215
114,98,203
137,120,228
138,123,226
114,96,208
135,118,224
120,106,202
116,98,210
114,94,221
122,108,209
109,90,190
106,92,190
131,116,223
122,109,200
128,111,223
125,109,222
141,124,229
118,102,209
125,104,214
112,95,189
130,115,229
128,107,221
113,101,189
127,109,228
110,96,204
133,116,233
123,107,207
124,108,221
113,95,197
138,122,230
108,91,193
105,92,184
134,113,223
126,105,229
123,104,210
117,99,196
126,107,231
134,114,230
117,99,202
118,102,210
128,112,235
126,108,220
113,94,197
122,108,214
127,108,223
130,111,218
131,112,234
122,106,217
131,111,217
116,101,203
119,100,203
127,111,210
113,94,209
121,100,210
117,99,203
113,98,201
117,99,221
121,105,212
129,108,222
105,91,191
133,119,225
136,120,229
129,110,230
129,115,224
133,111,223
112,92,206
135,118,224
124,109,206
116,103,205
113,96,191
113,99,191
108,95,189
112,95,211
111,97,192
129,108,225
124,104,229
112,96,194
125,111,207
134,118,234
113,97,200
127,109,208
130,110,237
134,115,226
134,115,228
130,114,231
136,118,230
114,96,197
123,109,216
117,101,220
126,105,226
132,111,231
115,99,207
131,115,226
133,113,228

