117,133,143
113,128,142
118,133,144
133,151,162
126,145,163
126,143,154
132,151,168
120,137,150
124,141,156
110,126,143
124,142,160
110,127,146
131,149,164
132,150,166
118,135,151
122,138,151
128,147,167
141,159,171
131,149,163
110,127,145
115,131,147
125,145,166
121,137,148
133,151,167
123,139,152
135,153,167
132,150,163
138,156,170
116,133,151
108,124,141
136,155,168
125,142,158
127,145,162
111,127,143
128,147,167
128,147,166
138,155,167
134,151,164
163,164,168
187,186,199
187,188,193
168,169,175
167,168,173
166,166,176
150,148,168
191,191,203
178,177,191
178,176,197
172,170,189
153,151,173
187,188,196
174,172,191
168,168,179
172,172,183
196,197,203
187,188,194
153,150,169
159,159,167
183,182,198
161,160,172
191,191,203
193,195,199
171,171,177
183,184,188
165,164,178
188,188,199
162,161,172
166,164,181
173,171,193
189,189,203
151,148,170
159,158,170
181,181,187
165,166,172
187,186,202
151,148,170
164,165,169
190,190,206
190,190,204
165,165,174
194,195,204
166,164,183
165,164,180
183,183,194
178,178,196
175,175,186
174,175,184
160,160,171
168,167,188
174,174,180
171,172,178
188,188,202
174,174,188
166,166,180
171,169,190
189,189,202
181,179,203
157,155,174
179,180,186
175,175,182
173,174,183
182,180,204
187,187,200
170,169,189
163,160,183
151,149,169
169,168,185
184,182,205
157,155,176
167,166,182
176,175,194
149,147,169
158,156,174
168,169,174
135,140,146
150,152,166
154,155,174
138,137,157
145,144,166
149,148,168
141,145,155
144,143,162
152,154,169
148,149,165
143,142,163
135,134,152
129,129,145
129,128,148
145,146,163
149,151,166
145,144,164
156,161,169
160,164,176
154,155,172
139,138,157
156,156,177
144,144,163
139,139,157
164,168,179
131,130,148
157,158,176
140,141,157
159,162,175
165,171,179
150,153,165
136,139,150
157,162,170
131,133,145
144,149,156
155,154,176
