174,135,99,blue
171,137,106,blue
171,138,107,blue
173,138,107,blue
170,137,107,blue
168,136,106,blue
174,136,101,blue
171,139,110,blue
169,137,109,blue
176,137,100,blue
173,137,104,blue
170,136,105,blue
196,145,105,blue
230,163,104,blue
226,168,118,blue
138,107,82,blue
189,140,101,blue
194,147,108,blue
174,133,107,blue
235,178,123,blue
203,149,109,blue
211,157,116,blue
217,154,99,blue
144,115,88,blue
218,162,112,blue
221,165,115,blue
226,159,100,blue
140,112,86,blue
217,161,113,blue
197,140,99,blue
223,167,120,blue
227,175,128,blue
209,148,97,blue
200,156,119,blue
202,150,112,blue
206,147,99,blue
197,151,111,blue
211,158,113,blue
211,155,107,blue
212,147,95,blue
212,155,108,blue
191,141,102,blue
233,175,125,blue
130,101,78,blue
205,155,117,blue
151,112,80,blue
197,145,107,blue
199,149,115,blue
224,160,104,blue
194,143,103,blue
236,181,131,blue
171,136,104,blue
179,137,98,blue
177,135,101,blue
137,108,84,blue
240,185,136,blue
208,161,120,blue
192,145,113,blue
235,175,119,blue
178,135,104,blue
184,145,113,blue
209,149,100,blue
224,165,112,blue
230,176,126,blue
207,153,106,blue
214,149,95,blue
130,100,77,blue
238,187,140,blue
157,120,90,blue
196,148,108,blue
222,169,124,blue
229,174,121,blue
204,150,109,blue
220,166,124,blue
172,127,89,blue
184,137,101,blue
209,156,112,blue
208,154,109,blue
209,144,92,blue
221,163,112,blue
204,149,108,blue
225,166,115,blue
232,179,132,blue
221,168,121,blue
226,162,105,blue
186,140,106,blue
157,122,102,blue
217,154,100,blue
234,176,124,blue
223,167,118,blue
187,141,103,blue
235,171,113,blue
212,155,110,blue
205,151,106,blue
154,115,88,blue
202,151,114,blue
225,172,126,blue
205,146,100,blue
192,141,107,blue
192,142,112,blue
116,165,124,green
120,167,134,green
118,165,132,green
121,168,131,green
122,168,133,green
118,164,130,green
119,168,130,green
118,165,132,green
121,166,135,green
114,165,128,green
119,165,131,green
123,168,137,green
114,164,126,green
118,164,128,green
122,167,134,green
162,244,182,green
148,240,163,green
150,237,176,green
135,211,159,green
110,161,121,green
130,224,152,green
157,243,180,green
111,189,129,green
115,214,147,green
89,131,102,green
96,189,118,green
155,241,177,green
174,250,196,green
124,195,139,green
111,187,125,green
140,204,158,green
153,220,169,green
99,179,108,green
96,153,116,green
109,213,146,green
121,205,141,green
109,156,120,green
117,220,145,green
105,215,132,green
123,221,154,green
129,221,158,green
131,234,157,green
124,176,137,green
128,215,157,green
158,247,179,green
88,129,95,green
119,198,144,green
133,217,155,green
139,238,153,green
140,209,161,green
145,234,173,green
107,150,116,green
126,206,145,green
111,166,126,green
102,210,128,green
113,164,129,green
155,238,180,green
142,223,164,green
87,123,96,green
109,184,136,green
131,233,152,green
166,250,185,green
142,231,169,green
114,215,143,green
155,247,170,green
156,242,182,green
130,203,154,green
142,236,164,green
116,216,140,green
95,151,109,green
140,205,155,green
147,238,175,green
105,170,125,green
97,157,111,green
166,249,188,green
94,143,113,green
105,219,127,green
115,173,126,green
169,249,190,green
131,198,148,green
154,245,168,green
126,222,157,green
114,215,149,green
163,245,182,green
111,169,125,green
164,247,187,green
124,224,148,green
139,223,165,green
127,179,143,green
107,156,120,green
132,227,157,green
157,237,182,green
109,199,127,green
86,133,93,green
154,239,178,green
74,111,85,green
162,250,176,green
125,224,158,green
114,167,131,green
157,244,177,green
107,94,194,red
112,101,191,red
115,102,192,red
111,99,193,red
113,101,189,red
115,104,189,red
113,100,194,red
111,100,188,red
117,104,190,red
112,98,196,red
116,103,192,red
116,105,190,red
111,98,195,red
115,102,192,red
114,102,190,red
131,116,228,red
83,60,175,red
138,116,246,red
123,84,226,red
115,86,231,red
120,83,223,red
104,87,176,red
116,71,218,red
115,83,216,red
101,70,174,red
126,100,240,red
123,88,229,red
119,90,213,red
103,70,197,red
121,85,221,red
115,79,208,red
115,83,223,red
116,89,240,red
119,91,230,red
127,98,234,red
118,88,234,red
130,105,237,red
150,134,247,red
137,116,245,red
135,117,240,red
127,86,221,red
133,111,245,red
121,72,214,red
138,112,239,red
139,122,247,red
123,84,222,red
117,77,210,red
89,65,168,red
116,91,237,red
109,93,191,red
115,74,211,red
114,78,223,red
116,75,212,red
88,56,150,red
145,128,251,red
88,76,155,red
132,96,232,red
106,74,209,red
115,97,196,red
135,113,232,red
113,78,224,red
121,88,225,red
