91,133,135
98,147,149
89,137,138
83,129,129
102,155,156
102,152,154
98,146,147
108,142,143
116,161,161
123,164,165
128,173,173
129,174,175
119,162,162
106,146,146
101,144,146
106,153,156
109,164,167
111,169,172
115,169,172
109,158,160
113,171,173
179,188,184
184,193,189
204,216,211
200,214,208
198,213,206
177,193,185
177,187,182
102,142,144
113,163,165
100,147,148
111,156,159
94,137,138
105,150,152
103,149,151
103,146,149
101,148,151
98,149,151
118,172,176
97,144,146
116,172,176
121,173,177
116,146,146
122,159,158
122,156,156
110,144,143
122,160,158
116,147,147
128,164,164
92,137,140
90,140,142
106,161,164
86,133,135
100,159,161
86,134,135
99,156,158
102,140,141
106,147,148
104,146,147
122,170,171
108,154,155
110,156,156
111,154,155
113,145,145
106,140,138
132,173,172
113,149,147
123,159,159
130,172,170
128,168,167
101,138,139
107,150,151
112,155,156
100,143,144
120,164,166
97,140,140
110,156,157
94,141,145
110,171,175
104,162,166
95,151,154
105,169,173
97,147,151
88,139,142
100,143,146
108,160,163
104,150,153
99,151,152
117,173,175
109,159,162
104,158,159
129,156,156
127,158,156
150,185,184
129,158,157
125,157,155
140,176,173
133,165,163
105,140,140
110,147,148
110,150,150
109,149,149
112,150,151
118,161,161
114,155,156
110,144,145
102,141,141
111,151,151
120,161,161
110,148,148
119,160,161
124,166,167
96,140,142
110,161,164
115,171,174
105,156,160
98,149,151
112,165,169
95,142,145
91,138,142
94,155,157
92,143,147
90,139,142
106,169,173
101,158,161
102,163,166
104,141,143
101,141,142
106,146,148
108,148,150
98,140,141
109,156,156
105,146,147
119,150,150
133,173,173
117,149,149
124,161,160
134,176,175
129,171,170
132,170,170
97,145,150
96,162,168
112,172,178
107,164,169
95,146,151
111,172,177
105,166,172
151,169,166
152,171,167
172,196,191
163,185,181
168,191,186
166,188,183
145,165,160
134,163,163
144,180,180
139,178,176
150,185,185
134,172,170
150,188,188
138,175,174
113,145,145
132,171,172
134,175,175
114,150,150
127,168,168
120,159,159
121,157,158
