105,88,129
116,87,146
105,79,130
123,95,155
103,77,126
112,84,139
122,93,153
147,125,151
165,135,169
169,129,170
152,125,155
147,115,147
163,135,168
152,118,152
80,69,122
75,59,117
88,73,138
91,75,145
99,85,156
95,82,149
91,73,145
77,67,124
77,64,127
93,78,158
85,67,148
91,75,155
85,66,148
88,73,149
139,117,146
149,114,153
140,114,146
143,108,146
165,130,173
153,125,160
135,106,139
83,74,121
98,85,147
92,74,137
84,72,123
82,69,121
89,71,133
90,76,134
121,104,141
128,101,148
131,102,153
132,102,154
118,94,135
135,112,160
136,113,161
81,71,117
86,70,128
81,63,118
83,69,122
85,68,126
95,79,143
83,72,119
199,172,160
199,167,153
238,188,166
217,172,152
202,166,151
199,163,148
218,183,168
92,73,129
94,72,133
83,62,115
88,74,122
88,72,123
92,76,130
102,82,146
101,80,145
82,62,114
88,66,125
83,71,122
98,82,149
98,80,150
85,72,126
95,74,148
87,68,132
89,73,136
107,88,132
128,103,161
116,91,145
127,101,160
116,94,145
117,88,148
109,82,136
76,67,111
85,67,131
75,59,112
87,72,134
93,81,140
88,75,134
80,66,121
145,126,162
157,124,173
156,130,174
151,129,169
164,133,184
164,137,185
150,122,166
81,70,114
84,72,118
91,76,130
96,78,138
100,84,145
91,74,131
81,64,116
74,64,114
83,70,133
89,74,144
81,67,131
75,63,116
81,62,135
74,63,115
75,64,119
83,70,136
73,57,121
71,58,116
84,65,145
86,73,140
76,64,125
77,68,114
82,67,125
85,71,129
86,73,130
90,71,140
91,78,139
77,61,118
86,73,120
99,81,141
93,78,133
89,70,127
85,68,120
98,77,142
89,71,127
79,69,116
82,72,123
79,63,119
80,67,121
86,75,130
84,67,128
78,61,117
82,71,119
83,65,122
102,87,151
89,75,130
81,64,119
97,81,145
86,73,125
