               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016765,           0.0061183,            0.030584,             0.78243,             0.93602,             0.87361,             0.83547,           0.0084449,           0.0031941,            0.019057,            0.006535,            0.006535,            0.006535
                  37,            0.016469,           0.0060649,            0.029512,             0.77419,             0.94777,             0.88162,             0.84364,           0.0084167,           0.0031451,            0.017473,            0.006436,            0.006436,            0.006436
                  38,             0.01669,           0.0060542,            0.028628,             0.78359,              0.9526,             0.88769,             0.85151,           0.0082772,           0.0031484,            0.016992,            0.006337,            0.006337,            0.006337
                  39,            0.016344,           0.0060217,            0.027724,             0.80071,             0.94367,             0.88421,             0.84846,            0.008277,           0.0031361,            0.016299,            0.006238,            0.006238,            0.006238
                  40,            0.016165,           0.0059287,            0.026625,             0.81555,             0.95505,             0.89855,             0.86335,           0.0082326,           0.0031779,             0.01521,            0.006139,            0.006139,            0.006139
                  41,            0.016101,           0.0059108,            0.025875,             0.82688,             0.95453,             0.90215,              0.8698,            0.008006,           0.0030589,            0.014372,             0.00604,             0.00604,             0.00604
                  42,             0.01595,           0.0059071,            0.025649,             0.82242,             0.96148,              0.9034,             0.87334,           0.0077406,           0.0030239,            0.014212,            0.005941,            0.005941,            0.005941
                  43,            0.015725,           0.0058312,            0.025138,             0.83691,              0.9625,             0.91173,             0.88578,           0.0075839,           0.0030149,            0.013445,            0.005842,            0.005842,            0.005842
                  44,            0.015517,           0.0057412,            0.024486,             0.83821,             0.95854,             0.91995,             0.89096,           0.0076278,            0.002965,            0.013054,            0.005743,            0.005743,            0.005743
                  45,            0.015388,           0.0057415,            0.024051,             0.84126,             0.96258,             0.92011,             0.89488,            0.007473,           0.0029598,            0.012744,            0.005644,            0.005644,            0.005644
                  46,            0.015318,           0.0057071,            0.023479,             0.85611,             0.96672,             0.92893,             0.90601,           0.0073335,           0.0028859,            0.012211,            0.005545,            0.005545,            0.005545
                  47,            0.015264,           0.0057037,             0.02314,             0.85467,             0.95556,             0.92584,             0.90316,           0.0072806,           0.0029124,            0.011921,            0.005446,            0.005446,            0.005446
                  48,            0.015067,           0.0056419,            0.022774,             0.86829,             0.96984,             0.93706,             0.91543,           0.0071335,           0.0028027,            0.011155,            0.005347,            0.005347,            0.005347
                  49,             0.01498,           0.0056345,            0.021841,             0.86652,             0.95541,             0.94186,             0.92113,           0.0070681,           0.0028135,            0.011027,            0.005248,            0.005248,            0.005248
                  50,            0.014828,           0.0055655,            0.021608,             0.89528,              0.9552,             0.95589,             0.93539,           0.0069293,           0.0027534,            0.010293,            0.005149,            0.005149,            0.005149
                  51,            0.014894,           0.0056482,              0.0208,             0.90219,              0.9549,             0.96106,             0.94335,           0.0068709,           0.0027548,            0.010153,             0.00505,             0.00505,             0.00505
                  52,             0.01446,            0.005513,            0.021143,             0.91608,              0.9594,             0.96505,             0.94823,           0.0068313,           0.0027063,           0.0095163,            0.004951,            0.004951,            0.004951
                  53,            0.014356,           0.0055292,            0.020408,             0.93519,             0.95769,             0.97206,             0.95346,           0.0068266,            0.002679,           0.0088901,            0.004852,            0.004852,            0.004852
                  54,            0.014302,           0.0054621,             0.01949,             0.93528,             0.96876,              0.9789,             0.96104,            0.006694,           0.0026825,           0.0082212,            0.004753,            0.004753,            0.004753
                  55,            0.014025,           0.0053697,            0.019198,              0.9462,             0.96758,             0.98155,             0.96375,           0.0067251,           0.0026482,           0.0076827,            0.004654,            0.004654,            0.004654
                  56,            0.013907,           0.0054263,            0.018545,             0.95254,             0.97202,             0.98181,             0.96748,           0.0066032,           0.0026695,           0.0072935,            0.004555,            0.004555,            0.004555
                  57,            0.013829,           0.0054176,            0.018373,             0.95722,             0.96866,             0.98171,             0.96618,            0.006606,           0.0026344,           0.0069149,            0.004456,            0.004456,            0.004456
                  58,             0.01377,           0.0054109,            0.017612,             0.96036,             0.96969,             0.98266,             0.96791,              0.0066,           0.0026149,           0.0065875,            0.004357,            0.004357,            0.004357
                  59,             0.01377,           0.0052935,            0.017423,             0.96182,             0.96885,             0.98195,             0.96991,           0.0064193,           0.0026042,           0.0062613,            0.004258,            0.004258,            0.004258
                  60,            0.013576,           0.0053096,            0.016906,             0.96885,             0.97374,             0.98482,             0.97181,             0.00647,           0.0025799,           0.0057594,            0.004159,            0.004159,            0.004159
                  61,            0.013447,           0.0052917,            0.016284,             0.96673,             0.97753,             0.98582,             0.97473,           0.0063034,           0.0025983,           0.0055857,             0.00406,             0.00406,             0.00406
                  62,            0.013359,           0.0052357,            0.015972,              0.9718,             0.97352,             0.98491,             0.97366,           0.0062283,           0.0025126,           0.0051772,            0.003961,            0.003961,            0.003961
                  63,             0.01328,           0.0051993,            0.015627,             0.96513,             0.97808,             0.98532,             0.97377,           0.0061766,            0.002489,           0.0052076,            0.003862,            0.003862,            0.003862
                  64,            0.013054,             0.00521,            0.015115,             0.96824,             0.97729,             0.98736,             0.97758,           0.0061014,           0.0025036,           0.0050398,            0.003763,            0.003763,            0.003763
                  65,            0.012936,           0.0051128,            0.014857,             0.97588,             0.97504,             0.98684,             0.97777,           0.0060695,           0.0024458,           0.0047258,            0.003664,            0.003664,            0.003664
                  66,             0.01264,           0.0050966,            0.014933,             0.97406,             0.97843,             0.98789,             0.97927,           0.0059732,           0.0024319,           0.0045768,            0.003565,            0.003565,            0.003565
                  67,            0.012502,           0.0050975,            0.014455,             0.97383,             0.98004,             0.98816,             0.97878,           0.0059255,           0.0023937,           0.0043986,            0.003466,            0.003466,            0.003466
                  68,            0.012368,           0.0050139,            0.014449,             0.96904,             0.98327,             0.98818,             0.97875,           0.0058773,           0.0023794,            0.004311,            0.003367,            0.003367,            0.003367
                  69,            0.012235,           0.0050365,            0.013915,             0.97953,             0.97674,             0.98828,              0.9798,           0.0058765,           0.0023617,            0.004169,            0.003268,            0.003268,            0.003268
                  70,            0.012219,           0.0049962,            0.013639,             0.98387,             0.97646,             0.98948,             0.98141,           0.0058424,            0.002361,           0.0039116,            0.003169,            0.003169,            0.003169
                  71,            0.011786,           0.0049144,            0.013688,             0.98313,             0.97961,             0.99034,             0.98276,           0.0057745,           0.0023273,           0.0037534,             0.00307,             0.00307,             0.00307
                  72,            0.011754,           0.0049515,             0.01326,             0.98384,             0.98046,             0.99026,             0.98324,           0.0057039,            0.002309,           0.0036449,            0.002971,            0.002971,            0.002971
                  73,            0.011686,           0.0048521,             0.01318,             0.98083,             0.98309,             0.99019,             0.98358,           0.0057126,           0.0022757,           0.0035885,            0.002872,            0.002872,            0.002872
                  74,            0.011484,            0.004799,            0.012502,             0.98729,             0.97859,             0.99034,             0.98369,           0.0056897,           0.0022852,           0.0034401,            0.002773,            0.002773,            0.002773
                  75,            0.011287,           0.0047869,             0.01217,             0.98755,             0.97984,             0.99047,             0.98346,           0.0056474,           0.0022647,           0.0033903,            0.002674,            0.002674,            0.002674
                  76,            0.011202,           0.0047858,            0.012216,             0.98746,             0.98114,             0.99081,             0.98392,           0.0055804,           0.0022577,           0.0033311,            0.002575,            0.002575,            0.002575
                  77,            0.010939,           0.0047076,            0.012185,             0.98573,             0.98263,              0.9907,             0.98436,           0.0055262,           0.0022265,            0.003209,            0.002476,            0.002476,            0.002476
                  78,            0.010788,           0.0046352,            0.011836,             0.98931,             0.98216,             0.99098,             0.98534,           0.0054729,           0.0022065,           0.0031632,            0.002377,            0.002377,            0.002377
                  79,            0.010638,           0.0046218,            0.011914,              0.9887,             0.97997,             0.99078,             0.98573,           0.0054361,           0.0021971,           0.0031726,            0.002278,            0.002278,            0.002278
                  80,            0.010442,           0.0045555,            0.011011,             0.98913,             0.98186,              0.9908,             0.98553,           0.0053795,           0.0021816,           0.0030603,            0.002179,            0.002179,            0.002179
                  81,            0.010331,           0.0045971,            0.011592,             0.98987,             0.98029,             0.99106,             0.98585,           0.0053527,           0.0021779,           0.0029504,             0.00208,             0.00208,             0.00208
                  82,            0.010109,           0.0045234,             0.01116,             0.98977,             0.98088,              0.9911,             0.98587,           0.0053199,           0.0021827,           0.0029346,            0.001981,            0.001981,            0.001981
                  83,           0.0099158,           0.0045343,            0.011007,             0.98885,             0.98252,             0.99109,             0.98631,           0.0052654,           0.0021608,           0.0028486,            0.001882,            0.001882,            0.001882
                  84,           0.0097917,           0.0044384,            0.010921,             0.98791,             0.98276,             0.99112,             0.98605,             0.00525,           0.0021445,           0.0028164,            0.001783,            0.001783,            0.001783
                  85,            0.009629,           0.0043841,            0.010298,             0.98656,             0.98502,             0.99137,             0.98647,           0.0052049,           0.0021318,           0.0028031,            0.001684,            0.001684,            0.001684
                  86,           0.0094006,           0.0043514,            0.010239,             0.98612,             0.98453,             0.99156,             0.98682,           0.0051617,           0.0021213,           0.0027734,            0.001585,            0.001585,            0.001585
                  87,           0.0092037,           0.0042721,           0.0099321,             0.98362,             0.98762,             0.99156,             0.98689,           0.0051222,           0.0021084,           0.0027553,            0.001486,            0.001486,            0.001486
                  88,           0.0089486,            0.004214,            0.010098,              0.9866,              0.9856,             0.99169,             0.98742,           0.0050879,           0.0020981,           0.0026809,            0.001387,            0.001387,            0.001387
