blue;d2;background;background
blue;d2;blue;d2
blue;eight;blue;eight
blue;eight;background;background
blue;five;background;background
blue;five;background;background
blue;five;background;background
blue;four;background;background
blue;four;background;background
blue;four;blue;four
blue;nine;background;background
blue;nine;blue;nine
blue;nine;background;background
blue;one;background;background
blue;one;blue;one
blue;one;background;background
blue;r;blue;r
blue;r;blue;r
blue;r;blue;one
blue;seven;blue;seven
blue;seven;gul;one
blue;seven;background;background
blue;six;background;background
blue;six;blue;six
blue;six;background;background
blue;s;background;background
blue;s;background;background
blue;s;background;background
blue;three;blue;three
blue;three;blue;three
blue;three;background;background
blue;two;blue;four
blue;two;blue;two
blue;two;background;background
blue;zero;blue;one
blue;zero;background;background
blue;zero;blue;zero
wild;d4;wild;d4
wild;d4;background;background
wild;d4;wild;d4
green;d2;background;background
green;d2;background;background
green;d2;background;background
green;eight;green;two
green;eight;background;background
green;eight;background;background
green;five;green;six
green;five;green;nine
green;five;green;five
green;four;background;background
green;four;green;four
green;four;green;four
green;nine;green;six
green;nine;background;background
green;nine;background;background
green;one;green;one
green;one;green;one
green;one;green;one
green;r;background;background
green;r;green;r
green;r;background;background
green;seven;green;seven
green;seven;green;seven
green;seven;green;seven
green;six;green;six
green;six;background;background
green;six;background;background
green;s;background;background
green;s;blue;s
green;s;background;background
green;three;background;background
green;three;green;one
green;three;background;background
green;two;background;background
green;two;green;two
green;two;green;two
green;zero;background;background
green;zero;background;background
green;zero;green;zero
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
background;background;background;background
red;d2;background;background
red;d2;background;background
red;d2;background;background
red;eight;background;background
red;eight;red;eight
red;eight;red;eight
red;five;background;background
red;five;background;background
red;five;background;background
red;four;red;four
red;four;red;four
red;four;red;four
red;nine;red;nine
red;nine;background;background
red;nine;background;background
red;one;red;one
red;one;red;one
red;one;red;one
red;r;red;r
red;r;background;background
red;r;red;r
red;seven;red;one
red;seven;red;seven
red;seven;red;seven
red;six;red;six
red;six;background;background
red;six;red;six
red;s;background;background
red;s;background;background
red;s;red;s
red;three;red;six
red;three;red;three
red;three;red;three
red;two;background;background
red;two;background;background
red;two;red;two
red;zero;red;zero
red;zero;red;one
red;zero;background;background
Wild;card;background;background
Wild;card;wild;card
Wild;card;background;background
Wild;card;background;background
Wild;custom;background;background
Wild;custom;blue;one
Wild;custom;background;background
Wild;shuffle;background;background
Wild;shuffle;background;background
Wild;shuffle;background;background
yellow;d2;background;background
yellow;d2;background;background
yellow;d2;background;background
yellow;eight;background;background
yellow;eight;background;background
yellow;eight;background;background
yellow;five;yellow;seven
yellow;four;yellow;one
yellow;four;background;background
yellow;four;background;background
yellow;nine;yellow;one
yellow;nine;background;background
yellow;nine;background;background
yellow;one;background;background
yellow;one;background;background
yellow;one;background;background
yellow;r;yellow;one
yellow;r;yellow;one
yellow;r;background;background
yellow;seven;yellow;one
yellow;seven;background;background
yellow;seven;background;background
yellow;six;background;background
yellow;s;yellow;one
yellow;s;background;background
yellow;s;background;background
yellow;three;background;background
yellow;three;yellow;one
yellow;three;background;background
yellow;two;yellow;one
yellow;two;background;background
yellow;two;background;background
yellow;zero;background;background
yellow;zero;background;background
yellow;zero;background;background
